Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
"AbbVie, Inc.",No,,Ultane,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,DEXILANT,Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,DALIRESP,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,BYDUREON,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
"Medtronic Vascular, Inc.",No,Stents,,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Janssen Products, LP",No,,Olysio,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"GlaxoSmithKline, LLC.",No,,VERAMYST,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Lundbeck LLC,No,,SABRIL,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,allowed
"Galena Biopharma, Inc.",No,,ABSTRAL,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,DEXILANT,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
"Millennium Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Clinical Pharmacology,disallowed
Baxter Healthcare,No,,BioTherapeutics - Research - Development,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Promius Pharma LLC,No,,CLODERM,Allopathic & Osteopathic Physicians|Dermatology|Clinical & Laboratory Dermatological Immunology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SUSTIVA,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Santarus, Inc",No,,Glumetza,Dental Providers|Dentist|Endodontics,disallowed
Cook Incorporated,No,IR - Specialty,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
Amgen Inc.,No,,Enbrel,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Reckitt Benckiser Pharmaceuticals Inc.,No,,SUBOXONE SUBLINGUAL FILM,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,BYDUREON,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
INSULET CORPORATION,No,OMNIPODINSULINMANAGEMENTSYSTEM,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"KCI USA, Inc",No,Surgical Mgmt Therapy,,Suppliers|Durable Medical Equipment & Medical Supplies|Customized Equipment,disallowed
CSL Behring,No,,Kcentra,Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology/Laboratory Medicine,disallowed
"UCB, Inc.",No,,Vimpat,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Hypertension Specialist,disallowed
Medinc of Texas,No,ARTHREX PRODUCT LINE ARTHROPLASTY,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,allowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation,,Chiropractic Providers|Chiropractor|Rehabilitation,disallowed
Edwards Lifesciences Corporation,No,Transcatheter Heart Valves,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
VIEWRAY INC,No,ViewRay system,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
Novocure Inc.,No,NovoTTF-100A,,,disallowed
Merck Sharp & Dohme Corporation,No,,MK-8931,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Ethicon Inc.,No,Sutures,,Chiropractic Providers|Chiropractor,disallowed
AstraZeneca Pharmaceuticals LP,No,,BYDUREON WEEKLY,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Amitiza,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
Shire US Holdings,No,,INTUNIV,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
DePuy Orthopaedics Inc.,No,Cervical Arthroplasty,,,allowed
"Cumberland Pharmaceuticals, Inc.",No,,Kristalose 10gm,Other Service Providers|Specialist,disallowed
"Auxilium Pharmaceuticals, Inc.",No,,TESTIM,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Cardinal Health 200, LLC",No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Varian Medical Systems, Inc.",No,TrueBeam,,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
Covidien Sales LLC,No,Operating Room,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"UCB, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
Ferring Pharmaceuticals Inc.,No,EUFLEXXA,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
SANOFI-AVENTIS U.S. LLC,No,,MOZOBIL,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"AbbVie, Inc.",No,,ABT-199i,,allowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,JENTADUETO,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Sientra, Inc.",No,SIENTRA HIGH STREIGHTH COHESIVE SILICONE GEL BREAST IMPLANT,,Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,disallowed
DePuy Synthes Sales Inc.,No,Biomaterials,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Aptalis Pharma US, Inc",No,,RECTIV,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Ethicon Inc.,No,Advanced Wound Care,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,disallowed
Pfizer Inc.,No,,CHANTIX,Allopathic & Osteopathic Physicians|Internal Medicine|Sports Medicine,disallowed
KLS Martin L.P.,No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Epimed International, Inc",No,Epidural Catheter,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
Alcon Research Ltd,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Medtronic Vascular, Inc.",No,Cardiac Monitors - Insertable,,Allopathic & Osteopathic Physicians|Internal Medicine,allowed
"Actelion Pharmaceuticals US, Inc.",No,,VELETRI EPOPROSTENOL,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
"Pernix Therapeutics Holdings, Inc.",No,,Cedax,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
Integra LifeSciences Corporation,No,Spine-Cervical,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
SANOFI-AVENTIS U.S. LLC,No,,LANTUS,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Novartis Pharma AG,No,,RAD001T,,allowed
American Medical Systems Inc.,No,AMS 700 Series,,Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,disallowed
Orthofix International N.V.,No,Unspecified-Unspecified,,Allopathic & Osteopathic Physicians|Neurological Surgery,allowed
Aqua Pharmaceuticals,No,,FLUOROPLEX CREAM,Allopathic & Osteopathic Physicians|Dermatology|Pediatric Dermatology,disallowed
Merck Sharp & Dohme Corporation,No,,NOXAFIL,Other Service Providers|Legal Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,ZETIA,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
Cubist Pharmaceuticals Inc,No,,CUBICIN,Allopathic & Osteopathic Physicians|Internal Medicine|Hospice and Palliative Medicine,disallowed
Celgene Corporation,No,,Vidaza,Allopathic & Osteopathic Physicians|Internal Medicine,allowed
"Henry Schein, Inc.",No,,,Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,disallowed
Premier Dental Products Company,No,NEXTEMP STANDARD,,Dental Providers|Dentist|General Practice,disallowed
"Genentech USA, Inc.",No,,Avastin,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Shire US Holdings,No,DERMAGRAFT,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Xhale, Inc.",No,,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
"Auxilium Pharmaceuticals, Inc.",No,,TESTOPEL,Allopathic & Osteopathic Physicians|Anesthesiology|Pediatric Anesthesiology,disallowed
Novartis Vaccines and Diagnostics Inc,No,,Menveo,Allopathic & Osteopathic Physicians|Surgery,disallowed
AstraZeneca Pharmaceuticals LP,Yes,,BRILINTA,,allowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,disallowed
"IsoRay, Inc",No,"Brachytherapy source, Cesium-131",,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
"Sorin Group USA, Inc",No,All Sorin HV,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Cook Incorporated,No,AI - AAA,,Allopathic & Osteopathic Physicians|Radiology|Nuclear Radiology,disallowed
EKOS Corporation,No,EKOSONIC,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Stivarga,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Roche TCRC, Inc.",No,,Non-Covered Product,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Aptalis Pharma US, Inc",No,,ZENPEP,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Boehringer Ingelheim Pharma GmbH & Co.KG,No,,Pradaxa,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Mercedes Medical, LLC",No,Urine Dipstick Controls 4x25mL SET,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Biogen Idec Inc.,No,,TECFIDERA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Henry Schein, Inc.",No,Other Clinical Products  Supplies,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Ironwood Pharmaceuticals, Inc",No,,LINZESS 145 mcg,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
"Hu-Friedy Mfg. Co., LLC",No,Diagnostic,,,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
"Biosense Webster, Inc.",No,Mapping and Navigation SystemsAccessories,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Janssen Biotech, Inc.",No,,Olysio,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
Astellas Pharma US Inc,No,,Prograf,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Merck Sharp & Dohme Corporation,No,,ZOSTAVAX,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"BIomet 3i, LLC",No,3I - TISSUE PRODUCTS,,Dental Providers|Dentist|Prosthodontics,disallowed
Covidien Sales LLC,No,Synthetic Mesh,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Cordis Corporation,No,Cardiovascular-Endovascular,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Aqua Pharmaceuticals,No,,DERMATOLOGICAL PRODUCTS,Allopathic & Osteopathic Physicians|Dermatology|MOHS-Micrographic Surgery,disallowed
PFIZER INC.,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Quidel Corporation,No,Sofia,,Other Service Providers|Specialist,disallowed
"Bard Access Systems, Inc.",No,Oncology,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Elekta Limited,No,,,,allowed
SEIKAGAKU CORPORATION,No,,SI-6603,,allowed
"Genentech, Inc.",No,,Xolair,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Medtronic, Inc.",No,Aortic Stent Grafts,,Allopathic & Osteopathic Physicians|General Practice,disallowed
Alcon Laboratories Inc,No,,Pataday,Allopathic & Osteopathic Physicians|Allergy & Immunology|Allergy,disallowed
Theragenics Corporation,No,,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
"Grifols USA, LLC",No,,Alphanate,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Avinger Inc.,No,Vascular Disease,,Hospitals|General Acute Care Hospital|Critical Access,disallowed
"Globus Medical, Inc.",No,Spine,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Vascular Solutions, Inc.",No,Guideliner,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Septodont Inc.,No,,ORAVERSE,Dental Providers|Dentist,disallowed
HOLOGIC INC,No,Tomo,,,disallowed
Genzyme Corporation,No,,KYNAMRO,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Alkermes, Inc.",No,,Vivitrol,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Supreme Orthopedic Systems, LLC",No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Merck Sharp & Dohme Corporation,No,,NEXPLANON,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Daiichi Sankyo Inc.,No,,Azor,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"ARGON MEDICAL DEVICES, INC.",No,BioPince,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
Amgen Inc.,No,,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,disallowed
Boston Scientific Corporation,No,BPH,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",No,,Nexavar,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Intuitive Surgical, Inc.",No,Da Vinci Surgical System,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Boston Scientific Corporation,No,KIDNEY STONE DISEASE,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Lundbeck LLC,No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Pfizer Pharmaceuticals LLC,No,,LYRICA,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,REYATAZ,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,allowed
Baxter Healthcare,No,,BioTherapeutics - GLASSIA,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
Allergan Inc.,No,,LUMIGAN,Allopathic & Osteopathic Physicians|Surgery,allowed
KARLSTORZ Endoscopy-America,No,ENT,,Allopathic & Osteopathic Physicians|Otolaryngology|Otology & Neurotology,disallowed
"Medtronic Vascular, Inc.",No,Aortic Stent Grafts,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"NuVasive, Inc.",No,,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
DePuy Orthopaedics Inc.,No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|General Practice,disallowed
ViroPharma Incorporated,No,,Cinryze HUMAN C1-ESTERASE INHIBITOR,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Kerr Corporation,No,Endodontics,,Allopathic & Osteopathic Physicians|Oral & Maxillofacial Surgery,disallowed
"Medtronic MiniMed, Inc.",No,Insulin pump,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
CareFusion Corporation,No,Procedural Solutions,,Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,disallowed
Celgene Corporation,No,,Revlimid,Allopathic & Osteopathic Physicians|Nuclear Medicine,disallowed
SANOFI-AVENTIS U.S. LLC,No,,AFLIBERCEPT,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,allowed
Merck Sharp & Dohme Corporation,No,,NEXPLANON,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Obstetrics,disallowed
"Aesculap Implant Systems, LLC",No,Orthopedics,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
"Janssen Pharmaceuticals, Inc",No,,Nucynta,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Xofigo,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"EndoChoice, Inc.",No,Fuse Full Spectrum Endoscopy System,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Medtronic Xomed, Inc.",No,Image Guided Surgery Products,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Fresenius USA Marketing, Inc.",No,,Phoslo,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Biosense Webster, Inc.",No,Generators   Accessories,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,allowed
"Genentech, Inc.",No,,Zelboraf,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"AngioDynamics, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
Lombard Medical Technologies Inc.,No,Aorfix Flexible Stent Graft System,,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Salix Pharmaceuticals, Ltd",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
MEDACTA USA,No,SPINE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Aesculap Implant Systems, LLC",No,Spine,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation - Neuro,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
"Ivoclar Vivadent, Inc.",No,596717 Mag Mtg Plates 20pk basic,,Dental Providers|Dentist|General Practice,disallowed
"Santarus, Inc",No,,Glumetza,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Novartis Pharmaceuticals Corporation,No,,DIOVAN,,allowed
"St. Jude Medical, Inc.",No,CRM,,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
Pfizer Inc.,No,,TYGACIL,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Johnson & Johnson Health Care Systems Inc.,No,,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Roche Diagnostics Corporation,No,MD Cobas 6800 8800,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Merck Sharp & Dohme Corporation,No,,EMEND for Injection,,allowed
"Genentech USA, Inc.",No,,Herceptin,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Lundbeck LLC,No,,ONFI,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,disallowed
Merck Sharp & Dohme Corporation,No,,SAPHRIS,Behavioral Health & Social Service Providers|Clinical Neuropsychologist,allowed
Novartis Pharmaceuticals Corporation,No,,EXJADE,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,allowed
"Vascular Solutions, Inc.",No,MICRO INTRODUCER KITS,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
SANOFI-AVENTIS U.S. LLC,No,,LANTUS,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
BIOVENTUS LLC,No,Joint Fluid Therapy,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,Stivarga,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Masimo Corporation,No,Multigas Monitoring,,Other Service Providers|Specialist,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ELIQUIS,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Mallinckrodt LLC,No,,Exalgo,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"MedImmune, LLC",No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Pulmonology,disallowed
Allergan Inc.,No,,,Suppliers|Durable Medical Equipment & Medical Supplies|Customized Equipment,disallowed
"BG Medicine, Inc.",No,BGM Galectin-3,,Other Service Providers|Specialist,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,AZILECT,Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,disallowed
Integra LifeSciences Corporation,No,Recon-Upper Extremity Metal,,Other Service Providers|Specialist,disallowed
DENTSPLY IH Inc.,No,Implant Dentistry,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Luitpold Pharmaceuticals Inc,No,Injectafer,Injectafer,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Roche Diagnostics Corporation,No,DC - ACCU-CHEK Diabetes Management Solutions,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
CareFusion Corporation,No,Procedural Solutions,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"ConforMIS, Inc.",No,iDuo,,,allowed
Exelixis Inc.,No,,COMETRIQ,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,DEXILANT,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
GENZYME CORPORATION,No,,AUBAGIO,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Covidien LP,No,,,Allopathic & Osteopathic Physicians|Surgery|Hospice and Palliative Medicine,disallowed
"Genentech USA, Inc.",No,,Tarceva,Allopathic & Osteopathic Physicians|Internal Medicine|Hospice and Palliative Medicine,disallowed
"Janssen Scientific Affairs, LLC",No,,Remicade,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"ECR Pharmaceuticals Co., Inc.",No,,Tussicaps,Allopathic & Osteopathic Physicians|General Practice,disallowed
"MAQUET Cardiovascular U.S. Sales, L.L.C.",No,Beating Heart Surgery,,Allopathic & Osteopathic Physicians|General Practice,disallowed
Pfizer Inc.,No,,FLECTOR PATCH,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Spinal Cord Injury Medicine,disallowed
AstraZeneca Pharmaceuticals LP,No,,BYDUREON WEEKLY,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Osteomed LLC,No,SBO-Extremifuse,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"AbbVie, Inc.",No,,Creon,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
Pfizer Inc.,No,,LYRICA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,disallowed
"VIVUS, Inc.",No,,Qsymia,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Par Pharmaceutical, Inc.",No,,MEGACE ES MEGESTROL ACETATE,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"GlaxoSmithKline, LLC.",No,,ADVAIR,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
Allergan Inc.,No,,,Ambulatory Health Care Facilities|Clinic/Center|Prison Health,disallowed
Baxter Healthcare,No,,Fluid Systems  - Infusion Systems,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Hollister Incorporated,No,Endoform,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Olympus Corporation of the Americas,Yes,ENT Products,,,disallowed
Pfizer Pharmaceuticals LLC,No,,XALKORI,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,,Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,disallowed
"BIOMET EUROPE, LTD",No,BIOLOGICS - BIOLOGICS MEDICAL DEVICES,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Pfizer International LLC,No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Integra LifeSciences Corporation,No,Spine-Orthobiologics,,Other Service Providers|Specialist,disallowed
Ortho Development Corporation,No,Envision,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"Smith & Nephew, Inc.",No,"Trauma Plates, Screws, and Nails",,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
ERBE USA Inc,No,ERBE,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"BIOMET SPINE, LLC",No,BSBHT - SPINE,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"SeaSpine, Inc.",No,UCR,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"EMD Serono, Inc.",No,,Gonal-f,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Medtronic USA, Inc.",No,Deep Brain Neurostimulation,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Actavis Pharma Inc,No,,RAPAFLO,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
MicroAire Surgical Instruments LLC,No,Implant,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"Millennium Pharmaceuticals, Inc.",No,,VELCADE,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"Toshiba America Medical Systems, Inc.",No,CT,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
ArthroCare Corporation,No,Sports Med Fixation,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
TEI Biosciences Inc,No,PriMatrix,PriMatrix,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Dyax Corp,No,,Kalbitor,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Allergy/Immunology,disallowed
PFIZER INTERNATIONAL LLC,No,,ESTRING,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,IXEMPRA,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Novartis Pharmaceuticals Corporation,No,,AFINITOR,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Warner Chilcott LLC,No,,ASACOL HD,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
Stryker Corporation,No,STENTS,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Medtronic, Inc.",No,Biologics Therapies,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
