gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013,52693.0
M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Depot Supply Coordinator,08/25/2003,2003,56145.65
F,HHS,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Community Services Aide III,08/10/2015,2015,48222.51
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Master Firefighter/Rescuer,09/03/2002,2002,85854.0
M,DLC,Department of Liquor Control,Westwood,Parttime-Regular,Liquor Store Clerk I,07/15/2012,2012,29779.07
F,OHR,Office of Human Resources,Recruitment and Selection Division,Fulltime-Regular,Human Resources Specialist II,04/07/2014,2014,71429.48
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/11/2010,2010,43244.28
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012,57265.0
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Program Specialist I,08/26/2013,2013,49618.43
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/12/2011,2011,45049.12
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007,67753.0
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,04/17/2006,2006,73296.24
F,COR,Correction and Rehabilitation,PTS Alternative Community Services,Fulltime-Regular,Principal Administrative Aide,08/17/1992,1992,60201.44
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,01/14/2002,2002,83658.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/27/2014,2014,35552.8
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/31/2005,2005,43422.51
F,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/29/1995,1995,58941.9
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager III,12/18/1989,1989,135392.0
M,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Police Officer III,09/08/1987,1987,92756.7
F,HHS,Department of Health and Human Services,Head Start/Pre-K (Health),Parttime-Regular,Community Health Nurse II,03/05/2001,2001,73434.0
F,HHS,Department of Health and Human Services,Educational Support,Fulltime-Regular,Program Manager I,04/03/2006,2006,77817.32
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,01/09/2012,2012,43525.12
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/14/2008,2008,68054.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer II,05/08/2011,2011,52693.0
M,DLC,Department of Liquor Control,White Oak,Parttime-Regular,Liquor Store Clerk I,10/01/2008,2008,30820.88
M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Manager III,04/16/2007,2007,111761.7
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Program Specialist II,05/11/1992,1992,87523.22
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/05/2006,2006,20419.48
M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff III,06/13/1994,1994,87967.15
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007,65716.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,59896.56
F,DEP,Department of Environmental Protection,Director,Fulltime-Regular,Director Department of Environmental Protection,01/20/2015,2015,210120.0
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013,57365.0
M,POL,Department of Police,Patrol Services Bureau,Fulltime-Regular,Assistant Chief of Police,08/15/1988,1988,174166.0
F,OHR,Office of Human Resources,Occupational Medical Services Team,Fulltime-Regular,Administrative Specialist I,02/05/2007,2007,72269.66
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Sergeant,03/12/2001,2001,100006.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/15/1994,1994,57807.08
F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004,78096.0
F,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Program Manager II,12/12/1994,1994,104717.28
M,COR,Correction and Rehabilitation,MSD Training and Staff Development,Fulltime-Regular,Correctional Supervisor (Sergeant),06/26/1995,1995,94277.96
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,09/29/1997,1997,103506.0
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Manager III,08/02/1982,1982,135392.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/22/2007,2007,48260.15
F,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Revenue Counter,01/17/2012,2012,37025.79
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician II,03/10/2003,2003,48844.15
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,02/19/2002,2002,79138.34
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015,51969.0
M,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,10/10/2010,2010,29779.07
M,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff III,01/17/2006,2006,69475.0
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Program Manager II,08/16/1978,1978,104717.28
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/04/2004,2004,43425.63
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Manager III,01/13/2014,2014,114419.25
F,HHS,Department of Health and Human Services,Contract Team,Fulltime-Regular,Administrative Specialist III,02/25/2013,2013,78755.48
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/16/2007,2007,70435.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012,60501.0
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Assistant Supervisor,02/05/1996,1996,71220.1
F,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Office Services Coordinator,05/31/2005,2005,56843.28
M,POL,Department of Police,ISB Major Crimes Division Cold Case Section,Fulltime-Regular,Police Officer III,07/06/1992,1992,92756.7
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,56478.0
F,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,02/22/2016,2016,27805.44
F,DOT,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,10/29/2007,2007,51289.57
M,DLC,Department of Liquor Control,Wholesale Administration,Fulltime-Regular,Manager II,09/21/2015,2015,156026.25
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,06/06/1994,1994,96197.88
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,01/26/2015,2015,44289.62
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),02/26/2001,2001,93989.5
M,DPS,Department of Permitting Services,"Team 3 Commercial Building, Life Safety, Structural and Accessibility",Fulltime-Regular,Permitting Services Specialist II,05/21/1990,1990,100849.36
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer IV (Lieutenant),08/15/2011,2011,64705.41
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/30/2013,2013,35552.78
F,COR,Correction and Rehabilitation,MSD Information Technology,Fulltime-Regular,Information Technology Specialist III,06/12/2006,2006,107657.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Manager III,02/24/1991,1991,119796.23
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,10/10/2011,2011,47940.3
F,DGS,Department of General Services,Administration and Budget,Fulltime-Regular,Administrative Specialist II,10/06/1997,1997,84974.0
F,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist I,10/19/2015,2015,55129.28
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Autobody Repairer,10/31/2005,2005,65082.89
F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,10/21/1985,1985,96197.88
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,46626.08
F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Desk Assistant,01/14/1985,1985,28738.03
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager II,09/09/2002,2002,130195.12
F,HHS,Department of Health and Human Services,Facilities and Logistical Services,Fulltime-Regular,Office Services Coordinator,07/04/1983,1983,66745.27
M,FRS,Fire and Rescue Services,Fleet Support,Fulltime-Regular,Emergency Vehicle Maintenance Crew Chief,10/13/1981,1981,96197.88
F,HHS,Department of Health and Human Services,Health Planning and Epidemiology,Fulltime-Regular,Program Manager I,09/06/2016,2016,60000.0
F,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Library Assistant I,03/15/1999,1999,58448.0
F,DLC,Department of Liquor Control,Purchasing,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,07/23/2003,2003,58769.89
M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Captain,08/27/1990,1990,116124.02
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),05/20/2013,2013,56733.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,02/19/2008,2008,39163.74
F,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Program Manager II,01/21/1986,1986,102664.0
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide III,03/19/2007,2007,69472.11
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,04/30/2007,2007,97676.37
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Manager III,12/29/1986,1986,118728.11
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,09/22/2003,2003,97912.0
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager II,09/25/1989,1989,156525.0
M,HHS,Department of Health and Human Services,Jail Addiction Services,Fulltime-Regular,Therapist II,02/19/1991,1991,100849.36
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Executive Administrative Aide,06/13/2005,2005,49415.14
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,02/03/2003,2003,80829.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/26/1995,1995,26208.35
M,OMB,Office of Management and Budget,Administration,Fulltime-Regular,Senior Management and Budget Specialist,07/16/2012,2012,103114.91
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004,90205.0
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008,63493.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,04/28/2008,2008,46626.87
F,LIB,Department of Public Libraries,Director,Fulltime-Regular,Office Services Coordinator,10/22/2001,2001,59130.0
M,HHS,Department of Health and Human Services,Clinical Assessment and Triage Services,Fulltime-Regular,Community Services Aide III,01/24/2005,2005,73561.26
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Master Police Officer,07/17/2000,2000,94099.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,10/29/2007,2007,46626.87
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Fire/Rescue Lieutenant,09/03/2002,2002,94449.0
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,07/26/1993,1993,87967.15
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Operations Supervisor,05/15/1989,1989,78889.86
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,52947.0
,REC,Department of Recreation,Neighborhood Senior Centers - Northern,Fulltime-Regular,Recreation Specialist,12/27/2016,2016,58000.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,12/06/1993,1993,67665.5
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,09/07/2004,2004,61936.52
F,SHF,Sheriff's Office,Evictions,Fulltime-Regular,Deputy Sheriff III,07/19/2004,2004,74424.0
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001,90896.0
F,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,07/18/1999,1999,64141.0
F,LIB,Department of Public Libraries,Public Service Administration,Fulltime-Regular,Program Specialist I,01/29/2001,2001,66720.4
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Analyst II,10/07/2013,2013,99394.13
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/06/2003,2003,56688.39
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer III (Sergeant),01/31/1972,1972,84832.58
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/14/1999,1999,64141.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,08/03/2005,2005,22425.81
M,DPS,Department of Permitting Services,Land Development Well and Septic,Fulltime-Regular,Environmental Health Specialist III,06/28/2004,2004,91299.77
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,04/16/2008,2008,38484.16
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),09/25/2000,2000,70301.0
F,LIB,Department of Public Libraries,Director,Fulltime-Regular,Administrative Specialist II,08/21/2006,2006,76384.04
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/18/2005,2005,75453.0
F,DOT,Department of Transportation,Traffic Engineering and Operations,Fulltime-Regular,Principal Administrative Aide,09/16/2002,2002,53278.7
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,03/14/1984,1984,99870.24
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Depot Supply Coordinator,10/30/1989,1989,62875.6
M,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,07/02/2001,2001,39218.77
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,03/03/2008,2008,56695.35
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,05/01/2006,2006,20419.48
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,02/14/2000,2000,51574.16
M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,50910.0
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,06/19/2006,2006,50699.16
M,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Administrative Specialist III,02/05/2007,2007,69495.42
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician I,01/27/2014,2014,52721.77
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,11/07/1994,1994,87523.22
F,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,01/17/2006,2006,75453.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/04/2003,2003,55122.12
F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Parttime-Regular,Program Specialist II,03/06/1994,1994,43761.61
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2007,2007,40534.48
M,HCA,Department of Housing and Community Affairs,Director,Fulltime-Regular,Director Department of Housing and Community Affairs,01/05/2015,2015,206000.0
F,POL,Department of Police,MSB Policy and Planning Division,Fulltime-Regular,Police Officer III,07/17/2000,2000,89620.0
M,POL,Department of Police,PSB 5th District Educational Facilities Officers,Fulltime-Regular,Police Officer III,01/14/2002,2002,86588.0
M,DLC,Department of Liquor Control,Milestone,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012,29779.07
M,OHR,Office of Human Resources,Information Technology Team,Fulltime-Regular,Manager II,08/16/1999,1999,145759.76
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,08/09/2004,2004,60051.29
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,08/19/1996,1996,92756.7
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Fire/Rescue Captain,08/17/1998,1998,118930.0
M,CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist I,09/19/2016,2016,58150.0
F,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Capital Projects Manager,12/17/2000,2000,117808.54
F,HHS,Department of Health and Human Services,Child Welfare Services,Parttime-Regular,Social Worker II,06/04/1996,1996,48098.94
F,OLO,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Administrative Specialist I,05/14/2007,2007,73801.0
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,09/12/1988,1988,92756.7
F,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Office Services Coordinator,11/13/2007,2007,47169.07
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager II,05/18/1970,1970,156525.0
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Master Firefighter/Rescuer,01/30/2006,2006,74815.0
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012,63345.0
F,DPS,Department of Permitting Services,Zoning and Site Plan Enforcement,Fulltime-Regular,Office Services Coordinator,08/09/2004,2004,57361.81
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,11/29/2004,2004,78096.0
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Fire/Rescue Captain,05/25/1986,1986,129868.06
F,LIB,Department of Public Libraries,Gaithersburg Library,Fulltime-Regular,Library Associate,11/18/2013,2013,51496.03
M,POL,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Police Officer III,07/14/2008,2008,68054.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/31/2011,2011,37838.73
M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Engineer III,10/30/2006,2006,102664.0
F,COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,Fulltime-Regular,Correctional Specialist III,07/09/2007,2007,69705.46
M,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Senior Investment Officer,04/17/2006,2006,151588.87
M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,11/13/2006,2006,49949.25
F,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,11/09/2012,2012,29779.06
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,06/07/2004,2004,90883.0
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,03/09/2015,2015,50131.24
F,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Officer III,03/17/1986,1986,92756.7
F,DOT,Department of Transportation,Traffic Engineering and Operations Management Services,Fulltime-Regular,Management and Budget Specialist III,12/17/2000,2000,90006.97
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,11/03/2002,2002,36707.05
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),11/04/2013,2013,51576.0
F,DHS,Office of Emergency Management and Homeland Security,Director's Office,Fulltime-Regular,Management and Budget Specialist III,08/26/1996,1996,102664.0
M,OHR,Office of Human Resources,Classification and Compensation Team,Fulltime-Regular,Compensation Analyst,08/01/1980,1980,106946.63
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Master Firefighter/Rescuer,12/13/2004,2004,80145.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014,42053.42
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,08/28/1989,1989,97912.0
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Fire/Rescue Captain,10/15/1979,1979,118080.06
F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Associate II,11/17/1997,1997,38831.29
F,FIN,Department of Finance,General Accounting,Fulltime-Regular,Accountant/Auditor III,04/08/2013,2013,93396.0
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,11/29/1993,1993,92707.17
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,District Supervisor,08/14/2007,2007,84095.22
F,DTS,Department of Technology Services,Enterprise Information Security Office,Fulltime-Regular,Information Technology Specialist III,08/07/2006,2006,106833.29
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Senior Supply Technician,08/07/1989,1989,70422.0
F,OMB,Office of Management and Budget,Operating Budget Management,Fulltime-Regular,Senior Management and Budget Specialist,04/18/1988,1988,115156.98
M,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Specialist III,11/10/1997,1997,86083.36
M,POL,Department of Police,Patrol Services Bureau,Fulltime-Regular,Police Officer I,06/01/2015,2015,50211.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/21/2005,2005,62430.09
M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,03/16/1998,1998,89620.0
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager II,01/18/1987,1987,156525.0
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Manager III,08/15/1988,1988,132162.52
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Services Assistant,10/15/2007,2007,50825.19
M,DLC,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician III,09/01/2011,2011,41123.09
F,DTS,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Office Services Coordinator,09/19/1988,1988,69222.18
F,SHF,Sheriff's Office,Child Support,Fulltime-Regular,Principal Administrative Aide,04/23/1984,1984,60201.44
M,DLC,Department of Liquor Control,Burtonsville,Parttime-Regular,Liquor Store Clerk I,04/18/2016,2016,27805.44
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/25/2002,2002,74713.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Office Services Coordinator,03/07/2005,2005,67206.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016,39257.31
F,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Administrative Specialist III,07/28/2003,2003,93396.0
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Work Force Leader II,03/11/1992,1992,75277.02
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),09/25/2000,2000,77328.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/26/2007,2007,46626.87
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer II,06/04/2012,2012,54538.0
M,POL,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,10/31/2016,2016,16049.0
F,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,10/10/2011,2011,52356.35
M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Police Sergeant,08/07/1989,1989,107128.71
M,COR,Correction and Rehabilitation,DS Facility Operations Management,Fulltime-Regular,Principal Administrative Aide,11/23/1998,1998,58448.0
F,LIB,Department of Public Libraries,Wheaton Library,Fulltime-Regular,Library Assistant I,12/29/2000,2000,55139.23
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Program Aide,04/10/1989,1989,63067.93
F,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005,79097.0
M,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Community Health Clinic Technician Leader,12/04/2000,2000,70422.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,08/26/2013,2013,17793.55
F,LIB,Department of Public Libraries,Potomac Library,Fulltime-Regular,Manager III,01/05/2009,2009,82019.65
M,HHS,Department of Health and Human Services,Compliance Team,Fulltime-Regular,Senior Financial Specialist,09/12/1994,1994,104717.28
F,HCA,Department of Housing and Community Affairs,Community Development Neighborhood Revitalization,Fulltime-Regular,Senior Planning Specialist,08/21/2006,2006,102664.0
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013,63445.0
F,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Paralegal Specialist,03/08/1999,1999,86708.62
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/05/2002,2002,48145.17
M,DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Engineer Technician II,08/07/2006,2006,73801.0
F,LIB,Department of Public Libraries,Damascus Library,Parttime-Regular,Library Associate,06/07/2007,2007,24809.23
F,HHS,Department of Health and Human Services,Area Agency on Aging Administration,Fulltime-Regular,Program Manager II,02/08/2016,2016,86430.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,56478.0
F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Mail Clerk,02/11/2013,2013,44707.91
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,09/04/2007,2007,62897.98
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,02/06/2006,2006,50563.09
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,04/23/1990,1990,99870.24
M,REC,Department of Recreation,MLK Indoor Pool,Fulltime-Regular,Recreation Specialist,08/05/1987,1987,87523.22
